order_id,product_id,product_name,unit_price,quantity,total_price
ORD_00000001,PROD_000079,애플 전자기기 상품 79,536000,1,536000
ORD_00000001,PROD_000072,삼성 스포츠 상품 72,278000,1,278000
ORD_00000002,PROD_000016,삼성 패션 상품 16,226000,2,452000
ORD_00000003,PROD_000011,LG 스포츠 상품 11,135900,2,271800
ORD_00000004,PROD_000086,삼성 패션 상품 86,9350,2,18700
ORD_00000005,PROD_000084,나이키 가전 상품 84,227000,1,227000
ORD_00000006,PROD_000014,아디다스 생활용품 상품 14,92000,1,92000
ORD_00000006,PROD_000087,유니클로 스포츠 상품 87,180600,3,541800
ORD_00000007,PROD_000095,LG 생활용품 상품 95,230000,1,230000
ORD_00000008,PROD_000008,나이키 패션 상품 8,94500,3,283500
ORD_00000009,PROD_000045,삼성 전자기기 상품 45,312200,3,936600
ORD_00000010,PROD_000027,아디다스 뷰티 상품 27,23000,3,69000
ORD_00000010,PROD_000035,애플 생활용품 상품 35,45000,3,135000
ORD_00000010,PROD_000084,나이키 가전 상품 84,227000,3,681000
ORD_00000011,PROD_000071,애플 생활용품 상품 71,17600,2,35200
ORD_00000012,PROD_000054,LG 뷰티 상품 54,161000,1,161000
ORD_00000013,PROD_000002,나이키 가전 상품 2,220400,1,220400
ORD_00000014,PROD_000047,LG 전자기기 상품 47,974000,2,1948000
ORD_00000015,PROD_000044,삼성 전자기기 상품 44,919000,2,1838000
ORD_00000016,PROD_000042,나이키 생활용품 상품 42,203000,2,406000
ORD_00000017,PROD_000016,삼성 패션 상품 16,226000,2,452000
ORD_00000018,PROD_000021,삼성 전자기기 상품 21,1087000,3,3261000
ORD_00000019,PROD_000018,유니클로 전자기기 상품 18,998000,1,998000
ORD_00000020,PROD_000019,LG 패션 상품 19,238000,2,476000
ORD_00000021,PROD_000074,LG 스포츠 상품 74,174400,3,523200
ORD_00000022,PROD_000068,나이키 전자기기 상품 68,1395000,1,1395000
ORD_00000023,PROD_000072,삼성 스포츠 상품 72,278000,3,834000
ORD_00000024,PROD_000046,애플 뷰티 상품 46,117000,3,351000
ORD_00000025,PROD_000079,애플 전자기기 상품 79,536000,2,1072000
ORD_00000026,PROD_000087,유니클로 스포츠 상품 87,180600,1,180600
ORD_00000027,PROD_000068,나이키 전자기기 상품 68,1395000,1,1395000
ORD_00000028,PROD_000051,유니클로 스포츠 상품 51,181000,3,543000
ORD_00000029,PROD_000021,삼성 전자기기 상품 21,1087000,1,1087000
ORD_00000030,PROD_000054,LG 뷰티 상품 54,161000,2,322000
ORD_00000030,PROD_000047,LG 전자기기 상품 47,974000,2,1948000
ORD_00000030,PROD_000072,삼성 스포츠 상품 72,278000,1,278000
ORD_00000031,PROD_000091,나이키 가전 상품 91,1132000,1,1132000
ORD_00000031,PROD_000034,LG 뷰티 상품 34,254000,1,254000
ORD_00000032,PROD_000008,나이키 패션 상품 8,94500,3,283500
ORD_00000033,PROD_000042,나이키 생활용품 상품 42,203000,1,203000
ORD_00000033,PROD_000089,애플 스포츠 상품 89,21250,2,42500
ORD_00000034,PROD_000037,유니클로 뷰티 상품 37,120000,2,240000
ORD_00000034,PROD_000003,애플 가전 상품 3,713000,1,713000
ORD_00000035,PROD_000028,유니클로 패션 상품 28,189550,2,379100
ORD_00000036,PROD_000095,LG 생활용품 상품 95,230000,1,230000
ORD_00000037,PROD_000071,애플 생활용품 상품 71,17600,1,17600
ORD_00000038,PROD_000031,LG 뷰티 상품 31,294000,1,294000
ORD_00000038,PROD_000084,나이키 가전 상품 84,227000,3,681000
ORD_00000039,PROD_000034,LG 뷰티 상품 34,254000,1,254000
ORD_00000039,PROD_000008,나이키 패션 상품 8,94500,3,283500
ORD_00000040,PROD_000038,LG 패션 상품 38,195000,1,195000
ORD_00000041,PROD_000090,아디다스 전자기기 상품 90,1664000,1,1664000
ORD_00000041,PROD_000064,유니클로 스포츠 상품 64,165000,3,495000
ORD_00000042,PROD_000024,삼성 가전 상품 24,2957000,3,8871000
ORD_00000043,PROD_000090,아디다스 전자기기 상품 90,1664000,2,3328000
ORD_00000043,PROD_000015,애플 가전 상품 15,2475000,1,2475000
ORD_00000043,PROD_000061,LG 가전 상품 61,560000,3,1680000
ORD_00000044,PROD_000023,삼성 스포츠 상품 23,247000,1,247000
ORD_00000044,PROD_000056,애플 가전 상품 56,2065500,3,6196500
ORD_00000045,PROD_000043,삼성 스포츠 상품 43,109000,1,109000
ORD_00000045,PROD_000078,유니클로 뷰티 상품 78,170250,1,170250
ORD_00000046,PROD_000010,나이키 패션 상품 10,144200,1,144200
ORD_00000046,PROD_000036,애플 패션 상품 36,176700,3,530100
ORD_00000047,PROD_000003,애플 가전 상품 3,713000,3,2139000
ORD_00000048,PROD_000092,삼성 스포츠 상품 92,206000,2,412000
ORD_00000049,PROD_000040,나이키 뷰티 상품 40,273000,3,819000
ORD_00000050,PROD_000095,LG 생활용품 상품 95,230000,3,690000
ORD_00000050,PROD_000013,나이키 뷰티 상품 13,194650,1,194650
ORD_00000051,PROD_000056,애플 가전 상품 56,2065500,3,6196500
ORD_00000052,PROD_000034,LG 뷰티 상품 34,254000,2,508000
ORD_00000052,PROD_000088,나이키 생활용품 상품 88,104000,2,208000
ORD_00000053,PROD_000083,애플 가전 상품 83,708800,3,2126400
ORD_00000054,PROD_000078,유니클로 뷰티 상품 78,170250,2,340500
ORD_00000055,PROD_000010,나이키 패션 상품 10,144200,1,144200
ORD_00000056,PROD_000009,나이키 전자기기 상품 9,303000,2,606000
ORD_00000057,PROD_000001,LG 생활용품 상품 1,120000,2,240000
ORD_00000058,PROD_000007,삼성 패션 상품 7,134000,3,402000
ORD_00000059,PROD_000092,삼성 스포츠 상품 92,206000,2,412000
ORD_00000060,PROD_000065,유니클로 가전 상품 65,667000,2,1334000
ORD_00000060,PROD_000079,애플 전자기기 상품 79,536000,1,536000
ORD_00000061,PROD_000017,아디다스 패션 상품 17,258000,1,258000
ORD_00000061,PROD_000024,삼성 가전 상품 24,2957000,3,8871000
ORD_00000062,PROD_000029,유니클로 뷰티 상품 29,11000,2,22000
ORD_00000063,PROD_000004,삼성 가전 상품 4,347000,3,1041000
ORD_00000064,PROD_000090,아디다스 전자기기 상품 90,1664000,3,4992000
ORD_00000065,PROD_000091,나이키 가전 상품 91,1132000,1,1132000
ORD_00000065,PROD_000060,LG 패션 상품 60,245000,2,490000
ORD_00000066,PROD_000022,나이키 전자기기 상품 22,1214000,1,1214000
ORD_00000066,PROD_000081,삼성 뷰티 상품 81,13000,2,26000
ORD_00000066,PROD_000031,LG 뷰티 상품 31,294000,2,588000
ORD_00000067,PROD_000003,애플 가전 상품 3,713000,3,2139000
ORD_00000068,PROD_000067,애플 전자기기 상품 67,1522000,3,4566000
ORD_00000069,PROD_000085,LG 가전 상품 85,2122000,1,2122000
ORD_00000070,PROD_000090,아디다스 전자기기 상품 90,1664000,2,3328000
ORD_00000071,PROD_000086,삼성 패션 상품 86,9350,2,18700
ORD_00000071,PROD_000019,LG 패션 상품 19,238000,1,238000
ORD_00000072,PROD_000052,아디다스 스포츠 상품 52,298000,2,596000
ORD_00000073,PROD_000062,애플 뷰티 상품 62,250000,2,500000
ORD_00000074,PROD_000004,삼성 가전 상품 4,347000,1,347000
ORD_00000075,PROD_000050,아디다스 패션 상품 50,186000,2,372000
ORD_00000075,PROD_000060,LG 패션 상품 60,245000,3,735000
ORD_00000076,PROD_000082,나이키 생활용품 상품 82,102000,2,204000
ORD_00000077,PROD_000079,애플 전자기기 상품 79,536000,3,1608000
ORD_00000077,PROD_000019,LG 패션 상품 19,238000,3,714000
ORD_00000077,PROD_000061,LG 가전 상품 61,560000,3,1680000
ORD_00000078,PROD_000089,애플 스포츠 상품 89,21250,1,21250
ORD_00000079,PROD_000007,삼성 패션 상품 7,134000,2,268000
ORD_00000080,PROD_000076,아디다스 뷰티 상품 76,44800,3,134400
ORD_00000081,PROD_000061,LG 가전 상품 61,560000,1,560000
ORD_00000082,PROD_000008,나이키 패션 상품 8,94500,1,94500
ORD_00000083,PROD_000038,LG 패션 상품 38,195000,1,195000
ORD_00000084,PROD_000036,애플 패션 상품 36,176700,1,176700
ORD_00000085,PROD_000024,삼성 가전 상품 24,2957000,2,5914000
ORD_00000086,PROD_000002,나이키 가전 상품 2,220400,1,220400
ORD_00000087,PROD_000039,나이키 스포츠 상품 39,131750,3,395250
ORD_00000088,PROD_000019,LG 패션 상품 19,238000,2,476000
ORD_00000089,PROD_000036,애플 패션 상품 36,176700,3,530100
ORD_00000089,PROD_000096,삼성 생활용품 상품 96,113400,3,340200
ORD_00000090,PROD_000038,LG 패션 상품 38,195000,3,585000
ORD_00000091,PROD_000013,나이키 뷰티 상품 13,194650,2,389300
ORD_00000092,PROD_000073,아디다스 생활용품 상품 73,278000,3,834000
ORD_00000092,PROD_000060,LG 패션 상품 60,245000,3,735000
ORD_00000093,PROD_000081,삼성 뷰티 상품 81,13000,2,26000
ORD_00000094,PROD_000068,나이키 전자기기 상품 68,1395000,2,2790000
ORD_00000095,PROD_000033,유니클로 가전 상품 33,1577000,2,3154000
ORD_00000096,PROD_000002,나이키 가전 상품 2,220400,1,220400
ORD_00000097,PROD_000061,LG 가전 상품 61,560000,2,1120000
ORD_00000097,PROD_000036,애플 패션 상품 36,176700,2,353400
ORD_00000098,PROD_000064,유니클로 스포츠 상품 64,165000,3,495000
ORD_00000098,PROD_000028,유니클로 패션 상품 28,189550,1,189550
ORD_00000099,PROD_000070,아디다스 가전 상품 70,982000,1,982000
ORD_00000100,PROD_000075,LG 뷰티 상품 75,13600,1,13600
ORD_00000101,PROD_000089,애플 스포츠 상품 89,21250,3,63750
ORD_00000101,PROD_000053,애플 가전 상품 53,1135600,1,1135600
ORD_00000102,PROD_000015,애플 가전 상품 15,2475000,2,4950000
ORD_00000103,PROD_000007,삼성 패션 상품 7,134000,3,402000
ORD_00000104,PROD_000001,LG 생활용품 상품 1,120000,1,120000
ORD_00000105,PROD_000079,애플 전자기기 상품 79,536000,3,1608000
ORD_00000106,PROD_000038,LG 패션 상품 38,195000,1,195000
ORD_00000106,PROD_000050,아디다스 패션 상품 50,186000,1,186000
ORD_00000106,PROD_000094,나이키 생활용품 상품 94,81000,3,243000
ORD_00000107,PROD_000093,LG 전자기기 상품 93,442000,2,884000
ORD_00000108,PROD_000023,삼성 스포츠 상품 23,247000,1,247000
ORD_00000108,PROD_000052,아디다스 스포츠 상품 52,298000,2,596000
ORD_00000109,PROD_000083,애플 가전 상품 83,708800,2,1417600
ORD_00000109,PROD_000067,애플 전자기기 상품 67,1522000,2,3044000
ORD_00000109,PROD_000099,유니클로 생활용품 상품 99,117599,3,352797
